date,sender_id,message,channel
2025-06-19 06:26:42+00:00,,"💵 PRICE :- 3600 ብር
☎️ phone :- 0944222069
👟 brand  :- NIKE PEGASUS ZOOM

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-18 16:32:41+00:00,,"💵 PRICE :- 3900 ብር
☎️ phone :- 0944222069
👟 brand  :- YEEZY 700 MENS

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-18 09:55:25+00:00,,"💵 PRICE :- 3600 ብር
☎️ phone :- 0944222069
👟 brand  :- REEBOK CLASSIC

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-17 18:16:14+00:00,,"💵 PRICE :- 3400 ብር
☎️ phone :- 0944222069
👟 brand  :- CONVERSE 90's

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ 213",@belaclassic
2025-06-17 12:06:41+00:00,,"💵 PRICE :- 3600 ብር
☎️ phone :- 0944222069
👟 brand  :- NIKE ZOOM RUN

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-17 05:40:04+00:00,,"💵 PRICE :- 3900 ብር
☎️ phone :- 0944222069
👟 brand  :- UNDER-ARMOUR MAVEN

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-17 05:37:34+00:00,,"💵 PRICE :- 3500 ብር
☎️ phone :- 0944222069
👟 brand  :- DOUBLE SOLE LOW

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ 213",@belaclassic
2025-06-17 05:33:56+00:00,,"💵 PRICE :- 3500 ብር
☎️ phone :- 0944222069
👟 brand  :- ADIDAS TERREX

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 16:29:33+00:00,,"💵 PRICE :- 3400 ብር
☎️ phone :- 0944222069
👟 brand  :- JORDAN 13 RETRO

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 14:01:35+00:00,,"💵 PRICE :- 3700 ብር
☎️ phone :- 0944222069
👟 brand  :- NAKED-WOLFE

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 12:44:24+00:00,,"💵 PRICE :- 3300 ብር
☎️ phone :- 0944222069
👟 brand  :- NIKE AIR-FORCE P.R.M

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 12:41:31+00:00,,"💵 PRICE :- 3400 ብር
☎️ phone :- 0944222069
👟 brand  :- NIKE LEBRON JAMES

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 10:34:39+00:00,,"💵 PRICE :- 4600 ብር
☎️ phone :- 0944222069
👟 brand  :- AIR JORDAN 1 SHINNY

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-06-16 08:03:03+00:00,,"💵 PRICE :- 3600 ብር
☎️ phone :- 0944222069
👟 brand  :- SKECHER MAX-CUSHION

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-21 04:34:30+00:00,,"💵 PRICE :- 4600 ብር
☎️ phone :- 0944222069
👟 brand  :- ECCO GOLF LOW

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-19 15:52:38+00:00,,"💵 PRICE :- 3900 ብር
☎️ phone :- 0944222069
👟 brand  :- YEEZY 700 MENS

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-18 09:34:51+00:00,,"👉እሁድ ሁሌም ከቀኑ 7 ሰዓት እስከ ምሽቱ 12 ሰዓት ሱቃችን ክፍት ነው 

👉የተቀሩት ቀናቶች ማለትም ከሰኞ እስከ ቅዳሜ ከጥዋቱ 1 ሰዓት እስከ ምሽቱ 1 ሰዓት ድረስ አለን 

🏘 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ ልክ እንደወጡ በመጀመሪያው በስተቀኝ  እጥፍ ሲሉ ያገኙናል  (ሱቅ ቁ. 213)

☎️ስልክ  :-  0944222069",@belaclassic
2025-05-15 10:40:28+00:00,,"💵 PRICE :- 3700 ብር
☎️ phone :- 0944222069
👟 brand  :- NAKED-WOLFE

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-14 11:59:04+00:00,,"💵 PRICE :- 3900 ብር
☎️ phone :- 0944222069
👟 brand  :- YEEZY 700 MENS

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-12 11:56:01+00:00,,"💵 PRICE :- 3600 ብር
☎️ phone :- 0944222069
👟 brand  :- NIKE ZOOM RUN

📐 size :- 39,40,41,42,43,44
📍 አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
2025-05-10 08:28:50+00:00,,"💵 PRICE :- 4300 ብር
☎️ phone :- 0944222069
👟 brand  :- COLOMBIA MONTRAIL

📐size :- 39,40,41,42,43,44
📍አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",@belaclassic
