date,sender_id,message,channel
2025-06-18 08:51:37+00:00,,"SOAK የመኪና ANDROID SCREEN 

🟰ልንጨርስ በጣም ውስን ፍሬ ነው የቀረን

🟰 ገበያ ላይ ካለው የመኪና እስኪሪን ዋጋ በግማሽ የቀነሰ

🟰በጥራቱ ሙሉ ዋስትና የምንሰጥበት

🟰🟰ሳያልቅ ይውሰዱ",@marakisat2
2025-06-14 08:22:57+00:00,,"አያስቡ
በየትኛውም ጊዜ ከኛ ለገዙት Android Box ሪሞት አያጡም! በሸጡላቸውም ሰዎች አይወቀሱም! 

1)- Set-Top Box

2)- Magic Keyboard Universal

3)- Q5 Android Box

4)- Magic Android Box

5)- Q5 Plus Android Box

6)- Xcruiser V8 Box

7)- Xcruiser Magic M1 Box

ሁሉም አለን!",@marakisat2
2025-06-14 08:17:30+00:00,,"ሰላም ውድ ደንበኞቻችን 

በቅርቡ ያመጣናትን ""XCRUISER MAGIC BOX""ሸጠን ልንጨርስ በጣም ውስን ብዛት ስለቀረን ፈላጊዎች ሳያልቅ ይዘዙን!",@marakisat2
2025-06-14 06:06:13+00:00,,"♦️5G+ WiFi Router♦️

Ethiotelecom እና SafariCom Support ያደርጋል!

ለብዛት ገዢዎች በሚገርም ዋጋ

🔷 Call     0911961727
🔷 inbox @lucassheerio
🕋አድራሻ; መርካቶ አንዋር መስጂድ ጎንደር በረንዳ ግቢ ውስጥ ቤኪጃ ሶፍትዌር",@marakisat2
2025-05-29 08:26:24+00:00,,"LIFESTAR 1 Million 4K Android

4K ሪሲቨር እና 4K ቲቪ ስማርት ማድረጊያን በአንድ እቃ የሚያገኙበት 

1. 2GB RAM 16GB Storage 
2. Android 11
3. 4K UHD Satellite Channels Support 
4. 24 month Free ForeverPro Server 
5. 15 Month Free Apollo5 4K IPTV Android Version Installed 
6. LifeTime Nova TV Support 
7. Google Playstore and Aptoide built In Installed 
8. PIP Support (2 satellite channels play in the same time) 
9. Bluetooth Remote Control 

ዋጋ 7000ብር ብቻ 0911961727 ወይም 0911060101",@marakisat2
2025-05-24 07:28:46+00:00,,"የድሮ Xcruiser5500 ፋይንደር Original ባትሪ አለን!

ለመግዛት 0911961727",@marakisat2
2025-05-24 06:58:10+00:00,,"ዛሬ ቅዳሜ ነው!

ይቺን ምርጥ የቲቪ ስማርት ማድረጊያ በመግዛት አልያም ወዳሉበት በማስላክ ነፃ የኳስ እንዲሁም የመዝናኛ ቻናሎችን በነፃ ይኮምኩሙ!

0911961727
@lucassheerio",@marakisat2
2025-05-23 09:30:36+00:00,,ባለ4 እና ባለ7 USB HUB በ 3.0,@marakisat2
2025-05-23 09:28:42+00:00,,"CONVERTORS

♦️HDMI TO USB
♦️DISPLAY PORT TO VGA
♦️DISPLAY PORT TO HDMI
♦️HDMI TO  VGA
♦️HDMI TO TYPE C
♦️USB TO VGA
♦️RS 232 TO USB
♦️HARD DISC CABLE 

የተለያየ አይነት Converter አስገብተናል!",@marakisat2
2025-05-23 08:54:35+00:00,,"SANDISK 100% ORIGINAL MEMORY 

ለ CCTV CAMERAዎች እና ለስልክ የሚሆን በ120MB/S ፍጥነት

🔷64GB SANDISK Memory

🔷128GB SANDISK Memory

🔷256GB SANDISK  Memory 

🔊ለብዛት ፈላጊዎች አሪፍ ዋጋ አለን!

🔷 Call     0911961727
🔷 inbox @lucassheerio
🕋አድራሻ; መርካቶ አንዋር መስጂድ ጎንደር በረንዳ ግቢ ውስጥ ቤኪጃ ሶፍትዌር",@marakisat2
