date,sender_id,message,channel
2025-06-17 08:05:31+00:00,,"🔠🔠🔠🔠🔠🔠 🔠🔠🔠🔠
ቡና ማፍያ ማሽን
✔️SKOEDI Single Cup Coffee Maker 
SKOEDI⬇️ Single Cup Coffee Maker With removal filter basket 
Reusable mesh filter Power button with indicator light

ዋጋ💵፦ 3400 ብር

ውስን ፍሬ ነው የቀረው ❌❌

Telegram - t.me/qnashcom
⚡️ጥራት 🔼 ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
🗺ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

🗺ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱 0946966440
📱 0992606060
📱 0905464599",@qnashcom
2025-06-14 06:30:24+00:00,,"📌📣 Silicone Gel Bath Brush

🟢Cleanse and refresh skin with a gentle lather
🟢Also great for household cleaning and scrubbing.
🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient
🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean
🟢Size: 70x11.5cm


     💲 ዋጋ፦  350 ብር

📣 ለማዘዝ = @Orderqnash

ውስን ፍሬ ነው የቀረው ❌❌
< Limited Stock ❌

Telegram - t.me/qnashcom
🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-14 06:30:24+00:00,,"📌📣 Silicone Gel Bath Brush

🟢Cleanse and refresh skin with a gentle lather
🟢Also great for household cleaning and scrubbing.
🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient
🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean
🟢Size: 70x11.5cm


     💲 ዋጋ፦  350 ብር

📣 ለማዘዝ = @Orderqnash

ውስን ፍሬ ነው የቀረው ❌❌
< Limited Stock ❌

Telegram - t.me/qnashcom
🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-13 11:49:49+00:00,,"📌📣 Silicone Gel Bath Brush

🟢Cleanse and refresh skin with a gentle lather
🟢Also great for household cleaning and scrubbing.
🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient
🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean
🟢Size: 70x11.5cm


     💲 ዋጋ፦  350 ብር

📣 ለማዘዝ = @Orderqnash

ውስን ፍሬ ነው የቀረው ❌❌
< Limited Stock ❌

Telegram - t.me/qnashcom
🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-12 16:10:21+00:00,,"📌🦴 Knife ቢላ 

☄️ High Quality 

🥩የስጋ, 🦴 የአጥንት 

              💸 1000 ብር

📣 ለማዘዝ = @Orderqnash


ውስን ፍሬ ነው የቀረው ❌❌
Limited Stock ❌

Telegram - t.me/qnashcom
🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-10 09:33:47+00:00,,"🦟⚽️ Baby Mosquito Net

✔️ ተጣጣፊ ቅልጥ ያለ የልጆች አጎበር

💵ዋጋ፦ ✔️ 1300 እና 1400 ብር

ውስን ፍሬ ነው የቀረው ❌❌
< Limited Stock ❌

Telegram - t.me/qnashcom
✅ ጥራት ✅ ዋስትና ✅ ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-09 06:55:35+00:00,,"➡️🔼 Hair Dye Brush Bottle

✔️Made of quality plastic material
✔️Great tool for hair dyeing use
✔️Easy to mix hair color potion
✔️Suitable for both professional or home DIY use
✔️Attached with a comb, durable and safe to use
✔️Bottle with scale, easy to mix hair color potio

              💲 ዋጋ፦ 200 ብር 

ውስን ፍሬ ነው የቀረው ❌❌
< Limited Stock ❌

Telegram - t.me/qnashcom
🛍 ጥራት ☄️ዋስትና 🔼 ቅናሽ

🏬 አድራሻ ፦ 
ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱0946966440
📱0992606060
📱0905464599",@qnashcom
2025-06-08 12:14:24+00:00,,"📌☄️ Orignal Kirkland Signature Hair Regrowth Treatment

📣 Take Control Of Your Hair Loss
✔️ #1 Dermatologist Recommended

        ዋጋ💵፦ አንድ ፍሬ = 1500 ብር
             💵ስድስት ፍሬ = 7800 ብር 

💵 Derma Roller = 600 ብር

📣 ለማዘዝ = @Orderqnash

ውስን ፍሬ ነው የቀረው ❌❌

Telegram - t.me/qnashcom
⚡️ጥራት 🔼 ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
🗺ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

🗺ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱 0946966440
📱 0992606060
📱 0905464599",@qnashcom
2025-06-07 12:37:21+00:00,,"📌☄️ Orignal Kirkland Signature Hair Regrowth Treatment

📣 Take Control Of Your Hair Loss
✔️ #1 Dermatologist Recommended

        ዋጋ💵፦ አንድ ፍሬ = 1500 ብር
             💵ስድስት ፍሬ = 7800 ብር 

💵 Derma Roller = 600 ብር

📣 ለማዘዝ = @Orderqnash

ውስን ፍሬ ነው የቀረው ❌❌

Telegram - t.me/qnashcom
⚡️ጥራት 🔼 ዋስትና 🛍 ቅናሽ

🏬 አድራሻ ፦ 
🗺ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 

🗺ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 

❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !

ስልክ:
📱 0946966440
📱 0992606060
📱 0905464599",@qnashcom
2025-06-06 06:24:15+00:00,,"እንኳን ለ1,446ኛው ዒድ አል-አደሃ (አረፋ) በዓል አደረሳችሁ!

በፍቅር፣ በደስታና በአብሮነት የምታከብሩት መልካም የዒድ አል-አደሃ (አረፋ) በዓል እንዲሆንላችሁ ከልብ እንመኛለን።

✨ዒድ ሙባረክ!",@qnashcom
